Qubit,T1,T2,Frequency (GHz),Anharmonicity (GHz),assigment_error,prob01,prob10,Readout length (ns),id,rz,sx,x,ecr,time,Operational
77,257.240336,75.93666758,5.041931573,-0.307230787,0.032,0.0172,0.0468,1300,0.000218281,0,0.000218281,0.000218281,0.009791042,660,TRUE
78,150.3850907,189.8490798,4.643455107,-0.312307473,0.0147,0.018,0.0114,1300,0.000418282,0,0.000418282,0.000418282,0,660,TRUE
79,79.33832528,62.6559438,4.863164548,-0.309271326,0.0116,0.0136,0.0096,1300,0.000246713,0,0.000246713,0.000246713,0.010163314,660,TRUE
80,197.5569463,213.7339429,5.031462467,-0.307219809,0.0226,0.0176,0.0276,1300,0.000253558,0,0.000253558,0.000253558,0.006285194,660,TRUE
81,241.7335292,262.4025995,4.930445698,-0.308419141,0.0468,0.0522,0.0414,1300,0.0001882,0,0.0001882,0.0001882,0.009291006,660,TRUE
82,225.7860213,263.6105501,4.893605875,-0.308979969,0.0166,0.0188,0.0144,1300,0.000245805,0,0.000245805,0.000245805,0.005081585,660,TRUE
83,239.0230906,61.19099205,4.790688923,-0.31061744,0.0132,0.016,0.0104,1300,0.000234615,0,0.000234615,0.000234615,0.00658143,660,TRUE
84,330.8622977,141.0239938,4.67969094,-0.311372943,0.01,0.01,0.01,1300,0.000139386,0,0.000139386,0.000139386,0.00545363,660,TRUE
85,149.9963063,159.4191168,5.104778793,-0.30614138,0.0083,0.0078,0.0088,1300,0.000381976,0,0.000381976,0.000381976,0.012237699,660,TRUE
86,122.4325316,74.09274209,4.898814237,-0.308318787,0.0385,0.0396,0.0374,1300,0.000328224,0,0.000328224,0.000328224,0.008675838,660,TRUE
87,170.0071741,151.0046458,4.992090074,-0.307423103,0.0282,0.0362,0.0202,1300,0.00078483,0,0.00078483,0.00078483,0.011706685,660,TRUE
88,147.6281172,157.0491453,5.099376754,-0.305899745,0.0098,0.0126,0.007,1300,0.000390768,0,0.000390768,0.000390768,0.007210902,660,TRUE
89,274.7915039,157.4997487,4.956490826,-0.307726195,0.0096,0.0112,0.008,1300,0.000167989,0,0.000167989,0.000167989,0,660,TRUE
90,219.3246893,72.96442429,4.905589361,-0.307867794,0.0078,0.0084,0.0072,1300,0.000234702,0,0.000234702,0.000234702,0,660,TRUE
91,186.7398824,226.7922402,4.914641032,-0.308502212,0.0426,0.0528,0.0324,1300,0.000931654,0,0.000931654,0.000931654,0.013647248,660,TRUE
92,84.81875381,86.02390115,4.91209831,-0.308588011,0.0076,0.0106,0.0046,1300,0.000213261,0,0.000213261,0.000213261,0.006493721,660,TRUE
93,60.93073107,53.66467632,4.964128685,-0.307381591,0.0314,0.0386,0.0242,1300,0.000647126,0,0.000647126,0.000647126,0.01560278,660,TRUE
94,251.938156,172.3445087,4.975880949,-0.307645872,0.0135,0.0138,0.0132,1300,0.000234806,0,0.000234806,0.000234806,0.007119896,660,TRUE
95,232.0539899,152.8402942,4.838888018,-0.309876443,0.0124,0.0154,0.0094,1300,0.000391565,0,0.000391565,0.000391565,0.0066281,660,TRUE
96,291.1544886,86.91225529,4.747911398,-0.310919191,0.0431,0.044,0.0422,1300,0.000195733,0,0.000195733,0.000195733,0,660,TRUE
97,195.8673812,133.8420939,4.816155516,-0.30955615,0.0084,0.0102,0.0066,1300,0.0006243,0,0.0006243,0.0006243,0.010386416,660,TRUE
98,123.9952229,25.81097253,4.942901833,-0.308363471,0.0154,0.02,0.0108,1300,0.000454273,0,0.000454273,0.000454273,0.01914062,660,TRUE
99,237.0510898,228.465736,5.060106823,-0.305537286,0.0138,0.0128,0.0148,1300,0.000233149,0,0.000233149,0.000233149,0.009358213,660,TRUE
100,205.2929011,224.1429551,4.905355572,-0.308439224,0.0083,0.0082,0.0084,1300,0.000157504,0,0.000157504,0.000157504,0.014392947,660,TRUE
