Qubit,T1,T2,Frequency (GHz),Anharmonicity (GHz),assigment_error,prob01,prob10,Readout length (ns),ID error ,rz,sx,x,ecr_1,ecr_2,ecr_3,time,Operational
89,325.2903041,216.1005118,4.796713686,-0.306922858,0.0407,0.0394,0.042,1244.444444,9.08E-05,0,9.08E-05,9.08E-05,0.016151293,,,561.77,TRUE
90,163.9274578,164.579641,4.70427494,-0.286062141,0.0033,0.005,0.0016,1244.444444,0.000206174,0,0.000206174,0.000206174,,,,561.77,TRUE
91,321.1214228,113.5605767,4.709013587,-0.310370419,0.0083,0.0116,0.005,1244.444444,0.00027346,0,0.00027346,0.00027346,0.017066697,0.011839119,,561.77,TRUE
92,230.0967896,60.47944407,4.729509176,-0.307177963,0.0025,0.004,0.001,1244.444444,0.000205816,0,0.000205816,0.000205816,0.0794545,0.006559558,,561.77,TRUE
93,333.3938719,208.3040921,4.678343685,0,0.0096,0.014,0.0052,1244.444444,0.000553299,0,0.000553299,0.000553299,0.012843285,,,561.77,TRUE
94,154.7201031,165.9101558,4.876116637,-0.306253921,0.0075,0.0078,0.0072,1244.444444,0.000240059,0,0.000240059,0.000240059,0.010115788,0.015743051,,561.77,TRUE
95,239.3265155,19.34478724,4.597075796,-0.313613526,0.0258,0.0378,0.0138,1244.444444,0.000236552,0,0.000236552,0.000236552,,,,561.77,TRUE
96,163.0917363,254.134555,4.733055739,0,0.0047,0.0036,0.0058,1244.444444,0.000140688,0,0.000140688,0.000140688,0.011607701,0.011208404,0.008685988,561.77,TRUE
97,231.6988983,255.2955522,4.806812065,-0.306462393,0.0018,0.0028,0.0008,1244.444444,0.000127884,0,0.000127884,0.000127884,0.011552675,,,561.77,TRUE
98,152.1713742,33.12204018,4.608986705,-0.311907219,0.0077,0.0128,0.0026,1244.444444,0.000564638,0,0.000564638,0.000564638,0.013635434,,,561.77,TRUE
99,283.4754792,113.8205704,4.574506061,-0.31063983,0.0045,0.0068,0.0022,1244.444444,0.000295391,0,0.000295391,0.000295391,,,,561.77,TRUE
100,283.6711601,86.3460377,4.647318132,-0.310986464,0.0019,0.0026,0.0012,1244.444444,0.000202678,0,0.000202678,0.000202678,0.013785324,0.020564187,,561.77,TRUE
101,163.2531624,179.9536427,4.724310155,-0.309714344,0.0044,0.0072,0.0016,1244.444444,0.000508909,0,0.000508909,0.000508909,0.013479772,0.01256024,,561.77,TRUE
102,278.0329705,356.3280505,4.60430987,-0.311641301,0.0273,0.0288,0.0258,1244.444444,0.000137036,0,0.000137036,0.000137036,,,,561.77,TRUE
103,261.1447699,129.347065,4.664326567,0,0.0025,0.0042,0.0008,1244.444444,0.00016422,0,0.00016422,0.00016422,0.006148989,0.008243075,,561.77,TRUE
104,113.8266727,32.27657295,4.802230651,-0.308436732,0.0068,0.0074,0.0062,1244.444444,0.000621039,0,0.000621039,0.000621039,,,,561.77,TRUE
105,278.8727509,117.5444563,4.739938637,0,0.0037,0.0054,0.002,1244.444444,0.000932285,0,0.000932285,0.000932285,0.013451268,0.015370948,,561.77,TRUE
106,313.5109516,44.87255134,4.710538886,-0.286997372,0.0315,0.0318,0.0312,1244.444444,0.001050539,0,0.001050539,0.001050539,,,,561.77,TRUE
107,286.7504461,39.53555187,4.615484654,-0.308013179,0.0042,0.0064,0.002,1244.444444,0.000287611,0,0.000287611,0.000287611,0.014328776,0.005913244,,561.77,TRUE
108,483.032712,330.2442359,4.54622824,0,0.009,0.008,0.01,1244.444444,0.000146752,0,0.000146752,0.000146752,0.006617933,,,561.77,TRUE
109,203.7895292,37.20815859,4.875245456,-0.306751818,0.0149,0.0122,0.0176,1244.444444,0.000488267,0,0.000488267,0.000488267,0.010780133,,,561.77,TRUE
110,242.8199671,81.96427856,4.805829799,-0.308261581,0.0068,0.0112,0.0024,1244.444444,0.000589812,0,0.000589812,0.000589812,0.017170526,,,561.77,TRUE
111,118.8198539,102.7836167,4.768731097,-0.308805156,0.0047,0.008,0.0014,1244.444444,0.00034649,0,0.00034649,0.00034649,0.015355421,0.008710879,,561.77,TRUE
112,382.7058783,296.7541969,4.58365176,0,0.006,0.0084,0.0036,1244.444444,0.000635818,0,0.000635818,0.000635818,,,,561.77,TRUE
113,162.5995978,92.8264796,4.65563509,-0.309314296,0.0021,0.0034,0.0008,1244.444444,0.000177499,0,0.000177499,0.000177499,,,,561.77,TRUE
114,275.4626669,20.05843547,4.78176436,-0.35915168,0.0126,0.0044,0.0208,1244.444444,0.00020762,0,0.00020762,0.00020762,0.006995946,0.007371302,,561.77,TRUE
115,286.0994785,234.8338425,4.70953665,-0.327577513,0.0018,0.003,0.0006,1244.444444,0.000151359,0,0.000151359,0.000151359,,,,561.77,TRUE
116,181.6912136,184.105509,4.958900678,-0.305494938,0.0052,0.009,0.0014,1244.444444,0.000276618,0,0.000276618,0.000276618,0.009023756,0.007515073,,561.77,TRUE
117,111.3057838,59.0797925,4.83159762,-0.307594667,0.019,0.0266,0.0114,1244.444444,0.000297031,0,0.000297031,0.000297031,0.00622097,,,561.77,TRUE
118,144.353119,188.1499152,4.749126196,-0.308675752,0.0027,0.004,0.0014,1244.444444,0.000182604,0,0.000182604,0.000182604,0.00753161,,,561.77,TRUE
119,293.1661602,246.811294,4.610736878,-0.311496301,0.0021,0.0038,0.0004,1244.444444,0.00014085,0,0.00014085,0.00014085,0.004824818,,,561.77,TRUE
120,176.0594957,372.8512168,4.500653747,-0.312238703,0.0029,0.0038,0.002,1244.444444,0.000128408,0,0.000128408,0.000128408,,,,561.77,TRUE
121,366.3912453,109.019895,4.620339805,-0.311333522,0.0937,0.0902,0.0972,1244.444444,0.00011672,0,0.00011672,0.00011672,0.007311719,,,561.77,TRUE
122,300.1953709,423.5637767,4.688042463,-0.308442517,0.0043,0.0034,0.0052,1244.444444,0.000143763,0,0.000143763,0.000143763,0.008230923,0.010820103,,561.77,TRUE
123,235.3274232,196.7411054,4.730570363,-0.3078326,0.0853,0.086,0.0846,1244.444444,0.000232252,0,0.000232252,0.000232252,0.010490942,,,561.77,TRUE
124,313.2081554,49.75468021,4.634879466,-0.308505703,0.0014,0.0018,0.001,1244.444444,0.000121066,0,0.000121066,0.000121066,,,,561.77,TRUE
125,309.259275,354.8073027,4.737103703,-0.307153745,0.0032,0.006,0.0004,1244.444444,0.00080517,0,0.00080517,0.00080517,0.0148813,0.009723265,,561.77,TRUE
126,240.6897253,65.58334207,4.702946745,-0.303112018,0.0079,0.0084,0.0074,1244.444444,0.000246229,0,0.000246229,0.000246229,0.014179657,,,561.77,TRUE
