,Name,Input,Ideal_chisquare,Noisy_chisquare,Ideal_hellinger,Noisy_hellinger,Ideal_trace,Noisy_trace,Ideal_fidelity,Noisy_fidelity,Killed_IC,Killed_NC,Killed_IH,Killed_NH,Killed_IT,Killed_NT,Killed_IF,Killed_NF
183,qpeexact_3_Mutant_Remove_x_P2_Q2.qasm,PureState_7,0.9005143002939733,0,0.0013811634312256135,0.11008807452678196,1.0,0.998871437795495,0.0,0.001348583192662954,False,True,False,True,True,True,True,True
184,qpeexact_3_Mutant_Remove_x_P2_Q2.qasm,Quratest_0,2.550743515737811e-09,9.898388010592649e-05,0.06946219937327787,0.05041326556665812,0.23027528999999994,0.22727535999999998,0.8591267544437307,0.8663411775818693,True,True,True,True,True,True,True,True
185,qpeexact_3_Mutant_Remove_x_P2_Q2.qasm,Quratest_1,1.4393034005772408e-302,0,0.36382595490369474,0.366039754381577,0.4997972298642199,0.476757899085,0.329411661034462,0.3526948211140582,True,True,True,True,True,True,True,True
186,qpeexact_3_Mutant_Remove_x_P2_Q2.qasm,Quratest_2,0.6379161855700626,0.637796822528568,0.014166792131001311,0.014313540287369989,0.30272363,0.29863773,0.007632846201045461,0.05258189567761144,False,False,False,False,True,True,True,True
187,qpeexact_3_Mutant_Remove_x_P2_Q2.qasm,Quratest_3,2.197715393581213e-16,6.167380127048318e-13,0.09595554909274429,0.08398073035621761,0.22395133,0.22365830000000003,0.9498458860541777,0.9499723585602705,True,True,True,True,True,True,True,True
188,qpeexact_3_Mutant_Remove_x_P2_Q2.qasm,Quratest_4,0.0,0.0,0.5249885790187969,0.5018774844330135,0.933711225158,0.88877557597,0.07873413377224384,0.11844711129055613,True,True,True,True,True,True,True,True
189,qpeexact_3_Mutant_Remove_x_P2_Q2.qasm,Quratest_5,2.2515658326887184e-301,0.0,0.328569799559233,0.33357248915726645,0.8946089399999999,0.893046885,0.19967487147795365,0.2023543165242375,True,True,True,True,True,True,True,True
190,qpeexact_3_Mutant_Remove_x_P2_Q2.qasm,Quratest_6,1.5285270390097869e-86,9.463721695017773e-105,0.21459796663443662,0.23085641977976368,0.9221952800000002,0.9203195800499999,0.13618486731560606,0.1402516721014503,True,True,True,True,True,True,True,True
191,qpeexact_3_Mutant_Remove_x_P2_Q2.qasm,Quratest_7,1.5985672294886578e-223,2.3575707122645386e-170,0.32017649974478474,0.2878705256647145,0.4434132343,0.42872079225000004,0.512506951040729,0.5385069551366779,True,True,True,True,True,True,True,True
192,qpeexact_3_Mutant_Replace_cx_P6_Q1_[].qasm,PureState_0,0,0.0,0.5316271602929086,0.41711457760910664,0.5,0.477802905465405,0.2500000000000001,0.2868316962362826,True,True,True,True,True,True,True,True
193,qpeexact_3_Mutant_Replace_cx_P6_Q1_[].qasm,PureState_1,0,0.0,0.5380427624618507,0.42406674092786734,0.5,0.47780292032485,0.2499999999999999,0.2868115242539803,True,True,True,True,True,True,True,True
194,qpeexact_3_Mutant_Replace_cx_P6_Q1_[].qasm,PureState_2,0,0.0,0.711262339505397,0.5762970697057411,0.75,0.7178947638477,0.2500000000000001,0.2869025959374506,True,True,True,True,True,True,True,True
195,qpeexact_3_Mutant_Replace_cx_P6_Q1_[].qasm,PureState_3,0,0.0,0.6981847117065277,0.5601657253996543,0.75,0.7181514117597649,0.2500000000000001,0.2869427753001036,True,True,True,True,True,True,True,True
196,qpeexact_3_Mutant_Replace_cx_P6_Q1_[].qasm,PureState_4,0,0.0,0.5580387407635489,0.4388251133439689,0.5,0.47780287492791007,0.2500000000000001,0.2862189528253977,True,True,True,True,True,True,True,True
197,qpeexact_3_Mutant_Replace_cx_P6_Q1_[].qasm,PureState_5,0,0.0,0.7224727819099321,0.5715514784660495,0.75,0.717688522674225,0.2500000000000001,0.28737084643498645,True,True,True,True,True,True,True,True
198,qpeexact_3_Mutant_Replace_cx_P6_Q1_[].qasm,PureState_6,0,0.0,0.6988672633325815,0.5472176214202915,0.75,0.71760191098775,0.2499999999999999,0.28754219247054286,True,True,True,True,True,True,True,True
199,qpeexact_3_Mutant_Replace_cx_P6_Q1_[].qasm,PureState_7,0,0.0,0.53977871068248,0.4383978205924438,0.5,0.47780295036430004,0.2499999999999999,0.28636801718659943,True,True,True,True,True,True,True,True
200,qpeexact_3_Mutant_Replace_cx_P6_Q1_[].qasm,Quratest_0,0.00012268205884518932,1.9281235219777847e-06,0.04959079627030919,0.05925154750176881,0.10905055500000001,0.1037485,0.00749996039329352,0.0608497283836907,True,True,False,True,True,True,True,True
