Metric,Nature,Categorical Variable,Target,Test,Stat,p-value,significant_pairs,not-significant_pairs,Effect Size (r),Strength
H,Non-Equivalent mutant,Output_type,ideal_distance,Mann–Whitney U,339519733160.0,0.0,['Dominant - Diverse: p-val: 0.0'],[],0.3143773545882987,Moderate
H,Non-Equivalent mutant,Input_type,ideal_distance,Mann–Whitney U,251168020208.0,0.8629877662212811,[],['PureState - Quratest: p-val: 0.8629877662212811'],0.00014493176960209898,Negligible
H,Non-Equivalent mutant,Gate_type,ideal_distance,Mann–Whitney U,219562537440.0,0.0,['Multi-qubit - Single-qubit: p-val: 0.0'],[],0.10822632760165928,Weak
H,Non-Equivalent mutant,Operator,ideal_distance,Kruskal–Wallis,32480.305278156764,0.0,"['Add - Remove: p-val: 0.0', 'Add - Replace: p-val: 0.0', 'Remove - Replace: p-val: 0.0']",[],0.022910299717455528,Weak
H,Non-Equivalent mutant,Algorithm,noisy_distance,Kruskal–Wallis,585152.658663766,0.0,"['ae - qft: p-val: 0.0', 'ae - qftentangled: p-val: 0.0', 'ae - qpeexact: p-val: 0.0', 'ae - vqe: p-val: 0.0', 'ae - wstate: p-val: 0.0', 'qft - qftentangled: p-val: 0.0', 'qft - qpeexact: p-val: 0.0', 'qft - vqe: p-val: 0.0', 'qft - wstate: p-val: 0.0', 'qftentangled - qpeexact: p-val: 0.0', 'qftentangled - vqe: p-val: 0.0', 'qftentangled - wstate: p-val: 0.0', 'qpeexact - vqe: p-val: 0.0', 'qpeexact - wstate: p-val: 0.0', 'vqe - wstate: p-val: 1.9564620531920206e-135']",[],0.41276589076651105,Strong
H,Non-Equivalent mutant,Output_type,noisy_distance,Mann–Whitney U,352883272816.0,0.0,['Dominant - Diverse: p-val: 0.0'],[],0.36067227888932335,Moderate
H,Non-Equivalent mutant,Input_type,noisy_distance,Mann–Whitney U,269676719152.0,0.0,['PureState - Quratest: p-val: 0.0'],[],0.06366221737024186,Negligible
H,Non-Equivalent mutant,Gate_type,noisy_distance,Mann–Whitney U,209991481600.0,0.0,['Multi-qubit - Single-qubit: p-val: 0.0'],[],0.1412395305639043,Weak
H,Non-Equivalent mutant,Operator,noisy_distance,Kruskal–Wallis,23753.340875917722,0.0,"['Add - Remove: p-val: 0.0', 'Add - Replace: p-val: 0.0', 'Remove - Replace: p-val: 0.0']",[],0.016754271305057754,Weak
J,Non-Equivalent mutant,Algorithm,ideal_distance,Kruskal–Wallis,353937.23750961723,0.0,"['ae - qft: p-val: 0.0', 'ae - qftentangled: p-val: 0.0', 'ae - qpeexact: p-val: 0.0', 'ae - vqe: p-val: 0.0', 'ae - wstate: p-val: 0.0', 'qft - qftentangled: p-val: 0.0', 'qft - qpeexact: p-val: 0.0', 'qft - vqe: p-val: 0.0', 'qft - wstate: p-val: 0.0', 'qftentangled - qpeexact: p-val: 0.0', 'qftentangled - vqe: p-val: 0.0', 'qftentangled - wstate: p-val: 0.0', 'qpeexact - vqe: p-val: 0.0', 'qpeexact - wstate: p-val: 0.0', 'vqe - wstate: p-val: 0.0']",[],0.24966545302471685,Strong
J,Non-Equivalent mutant,Output_type,ideal_distance,Mann–Whitney U,340479016192.0,0.0,['Dominant - Diverse: p-val: 0.0'],[],0.3177005710783069,Moderate
J,Non-Equivalent mutant,Input_type,ideal_distance,Mann–Whitney U,247867978136.0,7.880350284901917e-43,['PureState - Quratest: p-val: 7.880350284901917e-43'],[],0.011521543237158727,Negligible
J,Non-Equivalent mutant,Gate_type,ideal_distance,Mann–Whitney U,218777502288.0,0.0,['Multi-qubit - Single-qubit: p-val: 0.0'],[],0.11093412967059722,Weak
J,Non-Equivalent mutant,Operator,ideal_distance,Kruskal–Wallis,33442.02838190212,0.0,"['Add - Remove: p-val: 0.0', 'Add - Replace: p-val: 0.0', 'Remove - Replace: p-val: 0.0']",[],0.02358870224995547,Weak
J,Non-Equivalent mutant,Algorithm,noisy_distance,Kruskal–Wallis,543437.1232647768,0.0,"['ae - qft: p-val: 0.0', 'ae - qftentangled: p-val: 0.0', 'ae - qpeexact: p-val: 0.0', 'ae - vqe: p-val: 0.0', 'ae - wstate: p-val: 0.0', 'qft - qftentangled: p-val: 0.0', 'qft - qpeexact: p-val: 0.0', 'qft - vqe: p-val: 0.0', 'qft - wstate: p-val: 0.0', 'qftentangled - qpeexact: p-val: 0.0', 'qftentangled - vqe: p-val: 0.0', 'qftentangled - wstate: p-val: 0.0', 'qpeexact - vqe: p-val: 0.0', 'qpeexact - wstate: p-val: 0.0', 'vqe - wstate: p-val: 3.0614922127108026e-210']",[],0.38333955730550706,Strong
J,Non-Equivalent mutant,Output_type,noisy_distance,Mann–Whitney U,352311106432.0,0.0,['Dominant - Diverse: p-val: 0.0'],[],0.35869013941754213,Moderate
J,Non-Equivalent mutant,Input_type,noisy_distance,Mann–Whitney U,264295615184.0,0.0,['PureState - Quratest: p-val: 0.0'],[],0.04511132384379615,Negligible
J,Non-Equivalent mutant,Gate_type,noisy_distance,Mann–Whitney U,209649512944.0,0.0,['Multi-qubit - Single-qubit: p-val: 0.0'],[],0.1424190744758803,Weak
J,Non-Equivalent mutant,Operator,noisy_distance,Kruskal–Wallis,26351.722562322335,0.0,"['Add - Remove: p-val: 0.0', 'Add - Replace: p-val: 0.0', 'Remove - Replace: p-val: 0.0']",[],0.018587178000959586,Weak
T,Non-Equivalent mutant,Algorithm,ideal_distance,Kruskal–Wallis,188874.9814983469,0.0,"['ae - qft: p-val: 0.0', 'ae - qftentangled: p-val: 0.0', 'ae - qpeexact: p-val: 3.91944736130345e-51', 'ae - vqe: p-val: 0.0', 'ae - wstate: p-val: 0.0', 'qft - qftentangled: p-val: 0.0', 'qft - qpeexact: p-val: 0.0', 'qft - vqe: p-val: 0.0', 'qft - wstate: p-val: 0.0', 'qftentangled - qpeexact: p-val: 0.0', 'qftentangled - vqe: p-val: 0.0', 'qftentangled - wstate: p-val: 0.0', 'qpeexact - vqe: p-val: 0.0', 'qpeexact - wstate: p-val: 0.0', 'vqe - wstate: p-val: 0.0']",[],0.1332297668766987,Moderate
T,Non-Equivalent mutant,Output_type,ideal_distance,Mann–Whitney U,311770521576.0,0.0,['Dominant - Diverse: p-val: 0.0'],[],0.21824656269009007,Weak
T,Non-Equivalent mutant,Input_type,ideal_distance,Mann–Whitney U,250292801952.0,0.0001665057942730188,['PureState - Quratest: p-val: 0.0001665057942730188'],[],0.003162171498848955,Negligible
T,Non-Equivalent mutant,Gate_type,ideal_distance,Mann–Whitney U,193156747416.0,0.0,['Multi-qubit - Single-qubit: p-val: 0.0'],[],0.199307157137467,Weak
T,Non-Equivalent mutant,Operator,ideal_distance,Kruskal–Wallis,66896.32596128923,0.0,"['Add - Remove: p-val: 0.0', 'Add - Replace: p-val: 0.0', 'Remove - Replace: p-val: 0.0']",[],0.04718747003714599,Weak
T,Non-Equivalent mutant,Algorithm,noisy_distance,Kruskal–Wallis,210144.1826506243,0.0,"['ae - qft: p-val: 0.0', 'ae - qftentangled: p-val: 0.0', 'ae - qpeexact: p-val: 2.9623959883345e-278', 'ae - vqe: p-val: 0.0', 'ae - wstate: p-val: 0.0', 'qft - qftentangled: p-val: 0.0', 'qft - qpeexact: p-val: 0.0', 'qft - vqe: p-val: 0.0', 'qft - wstate: p-val: 0.0', 'qftentangled - qpeexact: p-val: 0.0', 'qftentangled - vqe: p-val: 0.0', 'qftentangled - wstate: p-val: 0.0', 'qpeexact - vqe: p-val: 0.0', 'qpeexact - wstate: p-val: 0.0', 'vqe - wstate: p-val: 0.0']",[],0.14823316068598086,Strong
T,Non-Equivalent mutant,Output_type,noisy_distance,Mann–Whitney U,314319031872.0,0.0,['Dominant - Diverse: p-val: 0.0'],[],0.2270752932712673,Weak
T,Non-Equivalent mutant,Input_type,noisy_distance,Mann–Whitney U,257191293488.0,4.239306688672809e-133,['PureState - Quratest: p-val: 4.239306688672809e-133'],[],0.020619785277761482,Negligible
T,Non-Equivalent mutant,Gate_type,noisy_distance,Mann–Whitney U,194457900112.0,0.0,['Multi-qubit - Single-qubit: p-val: 0.0'],[],0.19481912376309268,Weak
T,Non-Equivalent mutant,Operator,noisy_distance,Kruskal–Wallis,62365.31644552828,0.0,"['Add - Remove: p-val: 0.0', 'Add - Replace: p-val: 0.0', 'Remove - Replace: p-val: 0.0']",[],0.0439912815310129,Weak
F,Non-Equivalent mutant,Algorithm,ideal_distance,Kruskal–Wallis,25716.83990915053,0.0,"['ae - qft: p-val: 0.0', 'ae - qftentangled: p-val: 5.164166266993845e-77', 'ae - qpeexact: p-val: 0.0', 'ae - vqe: p-val: 0.0', 'ae - wstate: p-val: 2.429604783869078e-84', 'qft - qftentangled: p-val: 0.0', 'qft - qpeexact: p-val: 0.0', 'qft - vqe: p-val: 0.0', 'qft - wstate: p-val: 0.0', 'qftentangled - qpeexact: p-val: 6.655647944486357e-134', 'qftentangled - vqe: p-val: 0.0', 'qftentangled - wstate: p-val: 0.0022579997601644974', 'qpeexact - vqe: p-val: 0.0', 'qpeexact - wstate: p-val: 3.0319064279842015e-80', 'vqe - wstate: p-val: 0.0']",[],0.018137251933267682,Weak
F,Non-Equivalent mutant,Output_type,ideal_distance,Mann–Whitney U,228061211184.0,0.0,['Dominant - Diverse: p-val: 0.0'],[],0.0717451825844234,Negligible
F,Non-Equivalent mutant,Input_type,ideal_distance,Mann–Whitney U,251975874744.0,0.0016700253408326465,['PureState - Quratest: p-val: 0.0016700253408326465'],[],0.002640077323571438,Negligible
F,Non-Equivalent mutant,Gate_type,ideal_distance,Mann–Whitney U,310642300080.0,0.0,['Multi-qubit - Single-qubit: p-val: 0.0'],[],0.2059328143000165,Weak
F,Non-Equivalent mutant,Operator,ideal_distance,Kruskal–Wallis,118380.0544405119,0.0,"['Add - Remove: p-val: 0.0', 'Add - Replace: p-val: 1.5465876231004869e-21', 'Remove - Replace: p-val: 0.0']",[],0.08350425565540201,Moderate
F,Non-Equivalent mutant,Algorithm,noisy_distance,Kruskal–Wallis,21247.907444500855,0.0,"['ae - qft: p-val: 0.0', 'ae - qftentangled: p-val: 6.215352183919478e-61', 'ae - qpeexact: p-val: 0.0', 'ae - vqe: p-val: 0.0', 'ae - wstate: p-val: 0.0', 'qft - qftentangled: p-val: 0.0', 'qft - qpeexact: p-val: 0.0', 'qft - vqe: p-val: 0.0', 'qft - wstate: p-val: 1.1368004740152042e-297', 'qftentangled - qpeexact: p-val: 0.0', 'qftentangled - vqe: p-val: 2.9348605710830797e-236', 'qftentangled - wstate: p-val: 0.0', 'qpeexact - vqe: p-val: 0.0', 'qpeexact - wstate: p-val: 1.003374226759972e-09', 'vqe - wstate: p-val: 0.0']",[],0.01498484610503818,Weak
F,Non-Equivalent mutant,Output_type,noisy_distance,Mann–Whitney U,233798574848.0,0.0,['Dominant - Diverse: p-val: 0.0'],[],0.0518693994199626,Negligible
F,Non-Equivalent mutant,Input_type,noisy_distance,Mann–Whitney U,257196493904.0,2.507403951346412e-133,['PureState - Quratest: p-val: 2.507403951346412e-133'],[],0.02063771326504493,Negligible
F,Non-Equivalent mutant,Gate_type,noisy_distance,Mann–Whitney U,300824967808.0,0.0,['Multi-qubit - Single-qubit: p-val: 0.0'],[],0.17207013621503167,Weak
F,Non-Equivalent mutant,Operator,noisy_distance,Kruskal–Wallis,105879.76791505286,0.0,"['Add - Remove: p-val: 0.0', 'Add - Replace: p-val: 5.146401247173254e-07', 'Remove - Replace: p-val: 0.0']",[],0.07468651383052467,Moderate
E,Non-Equivalent mutant,Algorithm,ideal_distance,Kruskal–Wallis,140983.68048347972,0.0,"['ae - qft: p-val: 0.0', 'ae - qftentangled: p-val: 1.475307117123459e-06', 'ae - qpeexact: p-val: 0.0', 'ae - vqe: p-val: 3.846827161583193e-201', 'ae - wstate: p-val: 0.0', 'qft - qftentangled: p-val: 0.0', 'qft - qpeexact: p-val: 0.0', 'qft - vqe: p-val: 0.0', 'qft - wstate: p-val: 0.0', 'qftentangled - qpeexact: p-val: 0.0', 'qftentangled - vqe: p-val: 6.938506168142609e-241', 'qftentangled - wstate: p-val: 0.0', 'qpeexact - vqe: p-val: 0.0', 'qpeexact - wstate: p-val: 0.0', 'vqe - wstate: p-val: 0.0']",[],0.09944701951253695,Moderate
E,Non-Equivalent mutant,Output_type,ideal_distance,Mann–Whitney U,314226602664.0,0.0,['Dominant - Diverse: p-val: 0.0'],[],0.22675509343666417,Weak
E,Non-Equivalent mutant,Input_type,ideal_distance,Mann–Whitney U,234064920120.0,0.0,['PureState - Quratest: p-val: 0.0'],[],0.05910639963779405,Negligible
E,Non-Equivalent mutant,Gate_type,ideal_distance,Mann–Whitney U,260083340776.0,1.194983220521076e-308,['Multi-qubit - Single-qubit: p-val: 1.194983220521076e-308'],[],0.031541063487408254,Negligible
E,Non-Equivalent mutant,Operator,ideal_distance,Kruskal–Wallis,740.2632672587424,1.7942127433994205e-161,"['Add - Remove: p-val: 1.7823542647380187e-06', 'Add - Replace: p-val: 1.552855258947212e-148', 'Remove - Replace: p-val: 3.5310688538939627e-94']",[],0.0005207732539745888,Negligible
E,Non-Equivalent mutant,Algorithm,noisy_distance,Kruskal–Wallis,391399.2188294567,0.0,"['ae - qft: p-val: 0.0', 'ae - qftentangled: p-val: 9.94761682839987e-209', 'ae - qpeexact: p-val: 0.0', 'ae - vqe: p-val: 0.0', 'ae - wstate: p-val: 0.0', 'qft - qftentangled: p-val: 0.0', 'qft - qpeexact: p-val: 0.0', 'qft - vqe: p-val: 0.0', 'qft - wstate: p-val: 0.0', 'qftentangled - qpeexact: p-val: 0.0', 'qftentangled - vqe: p-val: 0.0', 'qftentangled - wstate: p-val: 0.0', 'qpeexact - vqe: p-val: 0.0', 'qpeexact - wstate: p-val: 0.0', 'vqe - wstate: p-val: 0.0']",[],0.27609130957633166,Strong
E,Non-Equivalent mutant,Output_type,noisy_distance,Mann–Whitney U,237901941816.0,0.0,['Dominant - Diverse: p-val: 0.0'],[],0.03765422379636996,Negligible
E,Non-Equivalent mutant,Input_type,noisy_distance,Mann–Whitney U,261012544240.0,0.0,['PureState - Quratest: p-val: 0.0'],[],0.033793218881674816,Negligible
E,Non-Equivalent mutant,Gate_type,noisy_distance,Mann–Whitney U,228539577336.0,0.0,['Multi-qubit - Single-qubit: p-val: 0.0'],[],0.07726204894305529,Negligible
